BioProject ID,Run ID,Organ,Treatment,Experiment,Description
PRJNA672970,SRR12926423,Seeds,Drought_30d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
PRJNA672970,SRR12926424,Seeds,Drought_40d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
PRJNA672970,SRR12926425,Seeds,Drought_50d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
PRJNA725025,SRR14321748,Leaf,AZ6_Wild_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321747,Leaf,AZ6_Wild_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321746,Leaf,EZ6_Wild_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321745,Leaf,EZ6_Wild_Drought_14D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321744,Leaf,FZ6_Wild_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321743,Leaf,FZ6_Wild_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321742,Leaf,FZ6_Wild_Re-water_2D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321741,Leaf,ASG_Resistant-mutant_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321740,Leaf,ASG_Resistant-mutant_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321739,Leaf,ASG_Resistant-mutant_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321738,Leaf,CSG_Resistant-mutant_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321737,Leaf,CSG_Resistant-mutant_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321736,Leaf,AZ6_Wild_non-treat,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321735,Leaf,CSG_Resistant-mutant_Drought_10D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321734,Leaf,DSG_Resistant-mutant_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321733,Leaf,DSG_Resistant-mutant_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
PRJNA725025,SRR14321732,Leaf,DSG_Resistant-mutant_Drought_12D,Drought - Cultivar - Days,Evaluation of a Dicotyledon-Specific Gene (SGI: Stress and Growth Interconnector) role in Bypassing the Tradeoff between Growth and Drought Resilience
